"estacao_id","nome,","latitude","longitude"
2449000,"Adrianópolis","-24.650000","-49.000000"
2452012,"Altamira Do Paraná","-24.800000","-52.700000"
2453008,"Alto Piquiri","-24.000000","-53.430000"
2353003,"Altônia","-23.850000","-53.870000"
2251038,"Alvorada Do Sul","-22.770000","-51.220000"
2352051,"Amaporã","-23.080000","-52.780000"
2553012,"Ampére","-25.920000","-53.480000"
2250033,"Andirá","-22.950000","-50.250000"
2548003,"Antonina","-25.230000","-48.750000"
2650013,"Antônio Olinto","-26.070000","-50.170000"
2351008,"Apucarana","-23.500000","-51.530000"
2351048,"Arapongas","-23.400000","-51.430000"
2450048,"Arapoti","-24.030000","-50.080000"
2352032,"Araruna","-23.820000","-52.500000"
2451046,"Ariranha do Ivaí","-24.370000","-51.500000"
2350032,"Assaí","-23.380000","-50.920000"
2453030,"Assis Chateaubriand","-24.600000","-53.600000"
2351051,"Astorga","-23.230000","-51.650000"
2350018,"Bandeirantes","-23.100000","-50.350000"
2451020,"Barbosa Ferraz","-24.020000","-51.950000"
2653008,"Barracão","-26.270000","-53.650000"
2553037,"Bela Vista da Caroba","-25.950000","-53.620000"
2651013,"Bituruna","-26.180000","-51.280000"
2451027,"Boa Ventura de São Roque","-24.900000","-51.650000"
2553026,"Boa Vista da Aparecida","-25.380000","-53.380000"
2549051,"Bocaiúva do Sul","-25.200000","-49.120000"
2351004,"Bom Sucesso","-23.700000","-51.770000"
2351020,"Borrazópolis","-23.930000","-51.580000"
2453050,"Brasilândia do Sul","-24.180000","-53.520000"
2251037,"Cafeara","-22.780000","-51.700000"
2351037,"Califórnia","-23.650000","-51.350000"
2350017,"Cambará","-23.000000","-50.030000"
2351031,"Cambé","-23.050000","-51.250000"
2351043,"Cambira","-23.650000","-51.600000"
2452011,"Campina da Lagoa","-24.580000","-52.800000"
2548001,"Campina Grande do Sul","-25.170000","-48.870000"
2453014,"Campo Bonito","-24.870000","-53.070000"
2549019,"Campo Largo","-25.470000","-49.570000"
2452018,"Campo Mourão","-24.050000","-52.370000"
2451003,"Cândido de Abreu","-24.830000","-51.150000"
2552023,"Candói","-25.680000","-52.180000"
2552041,"Cantagalo","-25.370000","-52.120000"
2450024,"Carambeí","-24.950000","-50.000000"
2349060,"Carlópolis","-23.530000","-49.730000"
2453056,"Cascavel","-24.950000","-53.230000"
2449030,"Castro","-24.620000","-49.670000"
2553041,"Catanduvas","-25.220000","-53.050000"
2251069,"Centenário do Sul","-22.820000","-51.580000"
2449006,"Cerro Azul","-24.800000","-49.280000"
2553009,"Céu Azul","-25.120000","-53.850000"
2552031,"Chopinzinho","-25.820000","-52.420000"
2352031,"Cianorte","-23.800000","-52.620000"
2352046,"Cidade Gaúcha","-23.370000","-52.920000"
2652015,"Clevelândia","-26.270000","-52.280000"
2251033,"Colorado","-22.880000","-51.880000"
2350048,"Congonhinhas","-23.630000","-50.470000"
2549040,"Contenda","-25.670000","-49.530000"
2453012,"Corbélia","-24.800000","-53.300000"
2350027,"Cornélio Procópio","-23.120000","-50.670000"
2652007,"Coronel Vivida","-26.020000","-52.620000"
2551018,"Cruz Machado","-25.900000","-51.100000"
2553004,"Cruzeiro do Iguaçu","-25.570000","-53.130000"
2353004,"Cruzeiro do Oeste","-23.770000","-53.070000"
2549006,"Curitiba","-25.430000","-49.270000"
2454018,"Diamante do Oeste","-24.900000","-54.200000"
2353033,"Douradina","-23.370000","-53.270000"
2449007,"Doutor Ulysses","-24.750000","-49.330000"
2553046,"Enéas Marques","-25.880000","-53.070000"
2352034,"Engenheiro Beltrão","-23.770000","-52.250000"
2454003,"Entre Rios do Oeste","-24.680000","-54.220000"
2552038,"Espigão Alto do Iguaçu","-25.420000","-52.830000"
2452029,"Farol","-24.080000","-52.620000"
2352014,"Fênix","-23.830000","-52.020000"
2550025,"Fernandes Pinheiro","-25.450000","-50.580000"
2653019,"Flor da Serra do Sul","-26.230000","-53.200000"
2352037,"Floraí","-23.320000","-52.280000"
2453010,"Formosa do Oeste","-24.270000","-53.320000"
2554002,"Foz do Iguaçu","-25.670000","-54.420000"
2453052,"Francisco Alves","-24.070000","-53.950000"
2653012,"Francisco Beltrão","-26.080000","-53.070000"
2651003,"General Carneiro","-26.380000","-51.270000"
2453016,"Goioerê","-24.180000","-53.020000"
2552026,"Goioxim","-25.180000","-52.980000"
2451023,"Grandes Rios","-24.180000","-51.430000"
2454016,"Guaíra","-24.320000","-54.220000"
2550057,"Guamiranga","-25.200000","-50.800000"
2350054,"Guapirama","-23.520000","-50.020000"
2352047,"Guaporema","-23.320000","-52.770000"
2552006,"Guaraniaçu","-25.080000","-52.880000"
2551000,"Guarapuava","-25.450000","-51.450000"
2548042,"Guaraqueçaba","-25.070000","-48.220000"
25324831,"Guaratuba","-25.905360","-48.604330"
2350049,"Ibaiti","-23.620000","-50.300000"
2553019,"Ibema","-25.100000","-53.070000"
2351011,"Ibiporã","-23.270000","-51.020000"
2353031,"Icaraíma","-23.370000","-53.620000"
2351050,"Iguaraçu","-23.170000","-51.820000"
2550048,"Imbituva","-25.230000","-50.600000"
2551001,"Inácio Martins","-25.680000","-51.200000"
2352044,"Indianópolis","-23.470000","-52.700000"
2450054,"Ipiranga","-24.870000","-50.650000"
2453000,"Iporã","-24.170000","-53.730000"
2550053,"Irati","-25.470000","-50.980000"
2452008,"Iretama","-24.420000","-52.100000"
2554025,"Itaipulândia","-25.100000","-54.380000"
2250032,"Itambaracá","-22.970000","-50.470000"
2351028,"Itambé","-23.650000","-51.970000"
2549053,"Itaperuçu","-25.120000","-49.550000"
2450049,"Ivaí","-24.950000","-50.880000"
2451014,"Ivaiporã","-24.250000","-51.650000"
2353032,"Ivaté","-23.320000","-53.420000"
2349038,"Jacarezinho","-23.120000","-49.820000"
2449040,"Jaguariaíva","-24.230000","-49.720000"
2452010,"Janiópolis","-24.130000","-52.770000"
2352045,"Japurá","-23.470000","-52.550000"
2451002,"Jardim Alegre","-24.050000","-51.620000"
2349030,"Joaquim Távora","-23.500000","-49.950000"
2350053,"Jundiaí do Sul","-23.450000","-50.220000"
2452033,"Juranda","-24.320000","-52.920000"
2351024,"Kaloré","-23.820000","-51.670000"
2549000,"Lapa","-25.930000","-49.780000"
2452019,"Laranjal","-24.880000","-52.470000"
2552007,"Laranjeiras do Sul","-25.400000","-52.420000"
2250030,"Leópolis","-22.950000","-50.770000"
2253013,"Loanda","-22.920000","-53.020000"
2351035,"Londrina","-23.520000","-51.220000"
2452046,"Luiziana","-24.270000","-52.270000"
2251042,"Lupionópolis","-22.680000","-51.630000"
2550005,"Mallet","-25.950000","-50.670000"
2452014,"Mamborê","-24.270000","-52.520000"
2549062,"Mandirituba","-25.770000","-49.320000"
2652022,"Mangueirinha","-26.120000","-52.430000"
2451015,"Manoel Ribas","-24.520000","-51.670000"
2353023,"Maria Helena","-23.600000","-53.200000"
2351029,"Marialva","-23.600000","-51.850000"
2353002,"Mariluz","-23.920000","-53.120000"
2351013,"Maringá","-23.420000","-51.950000"
2652011,"Mariópolis","-26.350000","-52.570000"
2453047,"Maripá","-24.420000","-53.820000"
2554005,"Matelândia","-25.230000","-54.970000"
2554007,"Medianeira","-25.300000","-54.100000"
2454015,"Mercedes","-24.450000","-54.170000"
2554020,"Missal","-25.080000","-54.230000"
2548000,"Morretes","-25.470000","-48.830000"
2453037,"Nova Aurora","-24.570000","-53.370000"
2452050,"Nova Cantu","-24.670000","-52.570000"
2352062,"Nova Esperança","-23.170000","-52.170000"
2350021,"Nova Fátima","-23.350000","-50.620000"
2552010,"Nova Laranjeiras","-25.300000","-52.530000"
2353029,"Nova Olímpia","-23.480000","-53.080000"
2453048,"Nova Santa Rosa","-24.380000","-53.920000"
2451044,"Nova Tebas","-24.420000","-51.930000"
2351025,"Novo Itacolomi","-23.750000","-51.500000"
2450008,"Ortigueira","-24.200000","-50.920000"
2352038,"Ourizona","-23.400000","-52.180000"
2453026,"Ouro Verde do Oeste","-24.770000","-53.900000"
2652010,"Palmas","-26.480000","-52.000000"
2550015,"Palmeira","-25.320000","-50.000000"
2452016,"Palmital","-24.880000","-52.200000"
2453003,"Palotina","-24.300000","-53.920000"
2252010,"Paranacity","-22.820000","-52.100000"
2548010,"Paranaguá","-25.520000","-48.520000"
2252017,"Paranavaí","-22.650000","-52.520000"
2652009,"Pato Branco","-26.050000","-52.800000"
2650010,"Paula Freitas","-26.220000","-50.800000"
2650012,"Paulo Frontin","-26.080000","-50.770000"
2352030,"Peabiru","-23.980000","-52.180000"
2353016,"Pérola","-23.780000","-53.670000"
2553005,"Pérola do Oeste","-25.830000","-53.750000"
2649018,"Piên","-26.150000","-49.370000"
2549041,"Pinhais","-25.420000","-49.130000"
2350043,"Pinhalão","-23.950000","-50.020000"
2551024,"Pinhão","-25.650000","-51.670000"
2449011,"Piraí do Sul","-24.520000","-49.920000"
2548041,"Piraquara","-25.480000","-48.980000"
2451013,"Pitanga","-24.750000","-51.770000"
2352060,"Planaltina do Paraná","-23.070000","-52.950000"
2553039,"Planalto","-25.670000","-53.680000"
2550003,"Ponta Grossa","-25.130000","-50.150000"
2549001,"Porto Amazonas","-25.550000","-49.880000"
2552037,"Porto Barreiro","-25.520000","-52.400000"
2253002,"Porto Rico","-22.770000","-53.270000"
2651004,"Porto Vitória","-26.170000","-51.220000"
2553036,"Pranchita","-25.950000","-53.830000"
2251039,"Primeiro de Maio","-22.850000","-51.020000"
2550000,"Prudentópolis","-25.200000","-50.930000"
2552046,"Quedas do Iguaçu","-25.380000","-52.950000"
2353010,"Querência do Norte","-23.070000","-53.470000"
2352002,"Quinta do Sol","-23.820000","-52.180000"
2549003,"Quitandinha","-25.950000","-49.380000"
2554023,"Ramilândia","-25.030000","-54.050000"
2550038,"Rebouças","-25.620000","-50.700000"
2450052,"Reserva","-24.420000","-50.970000"
2349036,"Ribeirão Claro","-23.200000","-49.750000"
2350052,"Ribeirão do Pinhal","-23.550000","-50.400000"
2351026,"Rio Bom","-23.750000","-51.400000"
2552036,"Rio Bonito do Iguaçu","-25.480000","-52.520000"
2451047,"Rio Branco do Ivaí","-24.320000","-51.300000"
2449020,"Rio Branco do Sul","-24.950000","-49.300000"
2649021,"Rio Negro","-26.100000","-49.800000"
2351053,"Rolândia","-23.200000","-51.450000"
2452015,"Roncador","-24.600000","-52.270000"
2352000,"Rondon","-23.320000","-52.670000"
2653016,"Salgado Filho","-26.050000","-53.350000"
2553007,"Salto do Lontra","-25.770000","-53.300000"
2350029,"Santa Amélia","-23.250000","-50.420000"
2454012,"Santa Helena","-24.770000","-54.230000"
2353001,"Santa Isabel do Ivaí","-23.000000","-53.180000"
2553028,"Santa Lúcia","-25.400000","-53.570000"
2451010,"Santa Maria do Oeste","-24.930000","-51.880000"
2353041,"Santa Mônica","-23.170000","-53.070000"
2553033,"Santa Tereza do Oeste","-25.150000","-53.620000"
2349061,"Santana do Itararé","-23.750000","-49.620000"
2349059,"Santo Antônio da Platina","-23.400000","-49.970000"
2252024,"Santo Antônio do Caiuá","-22.720000","-52.350000"
2350006,"Santo Antônio do Paraíso","-23.500000","-50.650000"
2653009,"Santo Antônio do Sudoeste","-26.070000","-53.720000"
2352036,"São Carlos do Ivaí","-23.350000","-52.520000"
2350037,"São Jerônimo da Serra","-23.770000","-50.800000"
2552029,"São João","-25.850000","-52.730000"
2550037,"São João do Triunfo","-25.620000","-50.200000"
2552001,"São Jorge do Ivaí","-25.770000","-52.920000"
2352053,"São Jorge do Oeste","-23.520000","-52.370000"
2353019,"São Jorge do Patrocínio","-23.680000","-53.900000"
2349064,"São José da Boa Vista","-23.900000","-49.650000"
2548052,"São José dos Pinhais","-25.800000","-48.920000"
2650006,"São Mateus do Sul","-26.020000","-50.580000"
2554006,"São Miguel do Iguaçu","-25.330000","-54.230000"
2351023,"São Pedro do Ivaí","-23.850000","-51.850000"
2253008,"São Pedro do Paraná","-22.780000","-53.150000"
2350061,"Sapopema","-23.900000","-50.570000"
2351044,"Sarandi","-23.480000","-51.900000"
2449044,"Sengés","-24.100000","-49.470000"
2553014,"Serranópolis do Iguaçu","-25.570000","-53.970000"
2250028,"Sertaneja","-22.850000","-50.870000"
2351032,"Sertanópolis","-23.050000","-51.020000"
2352042,"Tapejara","-23.670000","-52.970000"
2353034,"Tapira","-23.320000","-53.070000"
2450011,"Telêmaco Borba","-24.330000","-50.620000"
2352035,"Terra Boa","-23.670000","-52.370000"
2454006,"Terra Roxa","-24.170000","-54.100000"
2450002,"Tibagi","-24.500000","-50.400000"
2549063,"Tijucas do Sul","-25.780000","-49.150000"
2453017,"Toledo","-24.720000","-53.850000"
2553030,"Três Barras do Paraná","-25.420000","-53.180000"
2449024,"Tunas do Paraná","-24.970000","-49.070000"
2352026,"Tuneiras do Oeste","-23.900000","-52.950000"
2452009,"Ubiratã","-24.530000","-52.980000"
2353008,"Umuarama","-23.730000","-53.280000"
2651000,"União da Vitória","-26.220000","-51.070000"
2350023,"Uraí","-23.200000","-50.780000"
2553022,"Vera Cruz do Oeste","-25.050000","-53.870000"
2552040,"Virmond","-25.370000","-52.200000"
2652012,"Vitorino","-26.270000","-52.800000"
2353005,"Xambrê","-23.730000","-53.480000"
